sura,ayat,dominant_topic,confidence
4,17,5,0.52298856
4,18,7,0.19158879
4,19,11,0.30952382
4,20,11,0.38586956
4,21,13,0.5350877
4,22,11,0.38059703
4,23,11,0.81891024
4,24,11,0.32165608
4,25,11,0.31433824
4,26,5,0.35416666
4,27,12,0.622807
4,28,12,0.3690476
4,29,11,0.27232143
4,30,11,0.33064517
4,31,0,0.26623377
4,32,13,0.38888893
4,33,11,0.40804598
4,34,13,0.37971696
4,35,5,0.2414966
4,36,11,0.30952382
4,37,7,0.25
4,38,8,0.21527778
4,39,13,0.25
4,40,13,0.33064517
4,41,2,0.5425532
4,42,13,0.41129032
4,43,13,0.2109375
4,44,12,0.35964912
4,45,12,0.3690476
4,46,4,0.35563383
4,47,6,0.22767857
4,48,12,0.4552239
4,49,12,0.33064517
4,50,2,0.29807693
4,51,6,0.23134328
4,52,12,0.32978722
4,53,5,0.28378376
4,54,10,0.33116883
4,55,9,0.25
4,56,5,0.26288658
4,57,9,0.56542057
4,58,13,0.28504673
4,59,2,0.2771739
4,60,12,0.2990196
4,61,11,0.25
4,62,13,0.26623377
4,63,12,0.35964912
4,64,12,0.37295085
4,65,10,0.2847222
4,66,13,0.38586956
4,67,4,0.38888887
4,68,8,0.38888887
4,69,4,0.2228261
4,70,5,0.38888887
4,71,11,0.35964912
4,72,13,0.41129032
4,73,3,0.18902439
4,74,11,0.25
4,75,11,0.3785047
4,76,4,0.18902439
4,77,11,0.27747253
4,78,12,0.36597937
4,79,12,0.30597016
4,80,2,0.43617022
4,81,8,0.28504673
4,82,12,0.27192983
4,83,12,0.15530303
4,84,13,0.3505747
4,85,13,0.3785047
4,86,4,0.30597016
4,87,12,0.27192983
4,88,12,0.36597937
4,89,4,0.3068182
4,90,13,0.207483
4,91,4,0.25
4,92,11,0.25451264
4,93,4,0.23563218
4,94,11,0.29934213
4,95,11,0.42045456
4,96,5,0.60714287
4,97,6,0.3169643
4,98,11,0.68269235
4,99,5,0.60714287
4,100,12,0.26068377
4,101,4,0.33116883
4,102,13,0.25
4,103,11,0.3317757
4,104,5,0.26288658
4,105,1,0.16935484
4,106,5,0.554054
4,107,0,0.20192307
4,108,13,0.3961039
4,109,8,0.27192983
4,110,12,0.49305555
4,111,5,0.33064517
4,112,0,0.27192983
4,113,12,0.3068182
4,114,13,0.3785047
4,115,6,0.2228261
4,116,12,0.57258064
4,117,2,0.48437497
4,118,1,0.32978722
4,119,1,0.474359
4,120,1,0.5298508
4,121,6,0.4189189
4,122,9,0.49456525
4,123,12,0.3505747
4,124,9,0.21527778
4,125,6,0.4236111
4,126,5,0.6489362
4,127,11,0.3908451
4,128,5,0.27952754
4,129,5,0.30341882
4,130,5,0.4919355
4,131,5,0.58482146
4,132,5,0.60714287
4,133,12,0.35964912
4,134,4,0.23134328
4,135,11,0.32165608
4,136,6,0.36160716
4,137,4,0.35964912
4,138,7,0.6891892
4,139,13,0.33064517
4,140,0,0.26068377
4,141,7,0.3321168
4,142,11,0.26288658
4,143,12,0.41129032
4,144,13,0.4236111
4,145,13,0.29807693
4,146,13,0.3961039
4,147,5,0.3690476
4,148,5,0.27192983
4,149,5,0.5865385
4,150,2,0.46551728
4,151,7,0.48809525
4,152,2,0.26623377
4,153,2,0.17957747
4,154,9,0.25
4,155,13,0.2990196
4,156,11,0.28378376
4,157,6,0.21478873
4,158,5,0.554054
4,159,8,0.35964912
4,160,6,0.27192983
4,161,7,0.35416666
4,162,4,0.2113402
4,163,6,0.38888893
4,164,10,0.30597016
4,165,2,0.23563218
4,166,6,0.27192983
4,167,8,0.32978722
4,168,12,0.4189189
4,169,9,0.554054
4,170,5,0.39705884
4,171,5,0.21980676
4,172,8,0.2847222
4,173,13,0.2990196
4,174,12,0.30597016
4,175,4,0.27192983
4,176,11,0.51717556
5,1,1,0.2990196
5,2,11,0.25527427
5,3,3,0.22242647
5,4,6,0.30341882
5,5,11,0.31756756
5,6,9,0.29132232
5,7,5,0.26623377
5,8,13,0.40625003
5,9,4,0.48809525
5,10,0,0.48809525
5,11,13,0.36597937
5,12,9,0.21657754
5,13,6,0.22262774
5,14,1,0.25
5,15,6,0.29310346
5,16,8,0.33152175
5,17,5,0.25706214
5,18,12,0.3321168
5,19,7,0.19426751
5,20,13,0.3317757
