sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,63,0.076388896,0.14583333,0.006944445,0.006944445,0.21527778,0.006944445,0.006944445,0.006944445,0.006944445,0.14583333,0.076388896,0.006944445,0.006944445,0.2847222
2,64,0.011904763,0.011904763,0.011904763,0.011904763,0.13095239,0.011904763,0.011904763,0.011904763,0.011904763,0.13095239,0.25,0.011904763,0.25,0.13095239
2,65,0.008064517,0.16935484,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.33064517,0.08870968
2,66,0.4189189,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.14864865,0.28378376
2,67,0.006944445,0.006944445,0.21527778,0.2847222,0.006944445,0.006944445,0.006944445,0.006944445,0.006944445,0.076388896,0.006944445,0.076388896,0.006944445,0.2847222
2,68,0.16935484,0.008064517,0.16935484,0.08870968,0.08870968,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.08870968,0.08870968,0.16935484,0.08870968
2,69,0.008064517,0.008064517,0.008064517,0.4919355,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.08870968,0.008064517,0.008064517,0.16935484,0.16935484
2,70,0.20192307,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.10576924,0.009615385,0.49038464,0.009615385
2,71,0.0054347827,0.059782613,0.059782613,0.2771739,0.059782613,0.0054347827,0.0054347827,0.0054347827,0.0054347827,0.2771739,0.059782613,0.0054347827,0.059782613,0.11413043
2,72,0.011904763,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.011904763,0.011904763,0.011904763,0.13095239,0.011904763,0.13095239,0.011904763,0.3690476
2,73,0.00877193,0.00877193,0.00877193,0.4473684,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.00877193,0.35964912
2,74,0.003787879,0.003787879,0.041666668,0.041666668,0.19318181,0.003787879,0.003787879,0.003787879,0.003787879,0.344697,0.003787879,0.003787879,0.11742424,0.23106061
2,75,0.008064517,0.008064517,0.008064517,0.008064517,0.08870968,0.008064517,0.25,0.008064517,0.008064517,0.008064517,0.16935484,0.008064517,0.08870968,0.33064517
2,76,0.006493507,0.006493507,0.071428575,0.2012987,0.26623377,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.13636364,0.006493507,0.13636364,0.13636364
2,77,0.015625,0.015625,0.171875,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.48437497,0.171875
2,78,0.009615385,0.10576924,0.29807693,0.009615385,0.009615385,0.009615385,0.20192307,0.009615385,0.009615385,0.009615385,0.10576924,0.10576924,0.009615385,0.10576924
2,79,0.007462687,0.007462687,0.007462687,0.007462687,0.38059703,0.007462687,0.30597016,0.007462687,0.007462687,0.007462687,0.007462687,0.08208956,0.007462687,0.15671642
2,80,0.007462687,0.15671642,0.007462687,0.007462687,0.007462687,0.15671642,0.007462687,0.007462687,0.15671642,0.08208956,0.007462687,0.007462687,0.23134328,0.15671642
2,81,0.10576924,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.39423078,0.009615385,0.10576924,0.20192307,0.009615385
2,82,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.0106382985,0.0106382985,0.0106382985,0.0106382985
2,83,0.038732395,0.17957747,0.038732395,0.003521127,0.038732395,0.003521127,0.003521127,0.003521127,0.003521127,0.038732395,0.003521127,0.3908451,0.14436619,0.109154925
2,84,0.00877193,0.18421052,0.00877193,0.09649123,0.27192983,0.00877193,0.09649123,0.00877193,0.27192983,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193
2,85,0.002538071,0.002538071,0.002538071,0.027918782,0.33248731,0.002538071,0.027918782,0.053299487,0.12944162,0.002538071,0.027918782,0.053299487,0.10406091,0.23096447
2,86,0.0106382985,0.0106382985,0.0106382985,0.22340426,0.22340426,0.0106382985,0.0106382985,0.117021285,0.0106382985,0.0106382985,0.0106382985,0.22340426,0.0106382985,0.117021285
2,87,0.0032894737,0.13486841,0.2664474,0.0032894737,0.03618421,0.0032894737,0.16776316,0.0032894737,0.069078945,0.0032894737,0.10197368,0.0032894737,0.03618421,0.16776316
2,88,0.25,0.011904763,0.011904763,0.011904763,0.13095239,0.011904763,0.13095239,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.3690476
