Topic,Count,Name,Representation,Representative_Docs
9,95,9_doa_tuhan_salat_rahmat,"['doa', 'tuhan', 'salat', 'rahmat', 'doa tuhan', 'anugerah', 'karunia', 'laksana salat', 'baik', 'laksana']","['senyum tertawa kata semut doa tuhan anugerah tetap syukur nikmat anugerah kepada dua tua tetap kerja kebaji rida masuk rahmat golong hamba hamba saleh', 'laksana salat infak bagi rezeki anugerah', 'sana zakaria doa tuhan wahai tuhan karunia kepada turun baik sisi maha dengar doa']"
10,88,10_ingat_beri ingat_nenek_moyang,"['ingat', 'beri ingat', 'nenek', 'moyang', 'nenek moyang', 'orang beri', 'ingat ingat', 'beri', 'dahulu', 'mimpi']","['nenek moyang dahulu', 'apabila beri ingat ingat', 'beri ingat kaum nenek moyang pernah beri ingat lalai']"
11,86,11_istri_perempuan_laki_istri istri,"['istri', 'perempuan', 'laki', 'istri istri', 'saudara', 'perempuan perempuan', 'anak', 'laki laki', 'nikah', 'tinggal']","['minta fatwa kepada kata beri fatwa kepada kal lah orang tinggal anak orang saudara perempuan bagi dua harta tinggal adapun saudara laki laki waris anak saudara perempuan dua tiga harta tinggal saudara laki laki perempuan bagi orang saudara laki laki sama bagi dua saudara perempuan terang kepada sesat maha tahu segala', 'bagi dua harta tinggal istri istri anak anak dapat empat harta tinggal wasiat buat utang empat harta tinggal anak anak delap harta tinggal wasiat buat utang utang orang baik laki laki maupun perempuan tinggal dunia tinggal ayah anak orang saudara laki laki orang saudara perempuan masing masing dua jenis saudara enam harta orang sama sama bagi tiga buat utang susah demikian tentu maha tahu maha santun', 'haram atas ibu ibu anak anak perempuan saudara saudara perempuan saudara saudara perempuan ayah saudara saudara perempuan ibu anak anak perempuan saudara laki laki anak anak perempuan saudara perempuan ibu susu saudara saudara perempuan susu ibu istri istri anak anak perempuan istri pelihara istri campur campur istri dosa bagi istri istri anak kandung kumpul perempuan saudara lampau maha kam maha sayang']"
12,84,12_tolong_golong_masuk_panggil,"['tolong', 'golong', 'masuk', 'panggil', 'golong besar', 'masuk jahim', 'datang', 'benar', 'segera', 'tolong tolong']","['tolong tolong', 'dapat tolong tolong diri sendiri', 'benar benar usir keluar sama benar benar rang tolong kalaupun tolong niscaya paling belakang tolong']"
13,84,13_api_air_minum_panas,"['api', 'air', 'minum', 'panas', 'gelas', 'air panas', 'nyala', 'bakar', 'mabuk', 'didih']","['beri minum sumber mata air panas', 'minum campur air panas', 'air panas bakar api']"
14,84,14_dosa_dosa dosa_pikul_ampun,"['dosa', 'dosa dosa', 'pikul', 'ampun', 'dosa besar', 'pikul dosa', 'buat dosa', 'salah', 'buat', 'ada']","['kufur iman ikut jalan pikul dosa dosa padahal sedikit pikul dosa dosa sendiri benar benar dusta', 'jauh dosa dosa besar dosa dosa larang niscaya hapus salah salah masuk tempat mulia', 'benar benar pikul dosa dosa dosa dosa samping dosa dosa hari kiamat pasti tanya bohong selalu ada adakan']"
15,82,15_anugerah_karunia_syukur_rahmat,"['anugerah', 'karunia', 'syukur', 'rahmat', 'nikmat', 'kikir', 'senang', 'maha', 'besar', 'beri']","['wahai bani israil ingat nikmat anugerah kepada lebih umat alam', 'wahai bani israil ingat nikmat anugerah kepada lebih umat alam', 'karunia anugerah siapa hendak karunia besar']"
16,82,16_hari_celaka hari_hari dusta_celaka,"['hari', 'celaka hari', 'hari dusta', 'celaka', 'dusta', 'dusta celaka', 'hari putus', 'hari manusia', 'hari bangkit', 'main']","['celaka hari dusta', 'celaka hari dusta', 'celaka hari dusta']"
17,80,17_malaikat_malaikat malaikat_sujud_turun malaikat,"['malaikat', 'malaikat malaikat', 'sujud', 'turun malaikat', 'turun', 'malaikat sujud', 'nama', 'tuhan', 'malaikat ada', 'sujud iblis']","['rasul datang depan belakang jangan sembah jawab kalau hendak turun malaikat malaikat ingkar rasul', 'tetap turun malaikat malaikat jangan takut sedih hati gembira surga janji kepada', 'cipta malaikat malaikat upa perempuan saksi']"
18,72,18_malam_siang_tanda_malam siang,"['malam', 'siang', 'tanda', 'malam siang', 'waktu', 'jadi malam', 'jadi', 'bulan', 'matahari', 'waktu malam']","['dia jadi malam bagi istirahat pada siang terang benderang benar benar dapat tanda tanda kaum dengar', 'masuk malam siang masuk siang malam maha tahu segala isi hati', 'masuk malam siang masuk siang malam maha dengar maha lihat']"
19,71,19_hamba_hamba hamba_rezeki_hamba pilih,"['hamba', 'hamba hamba', 'rezeki', 'hamba pilih', 'pilih', 'maha', 'hendak hamba', 'zalim hamba', 'lapang rezeki', 'hamba mukmin']","['hamba hamba pilih', 'hamba hamba pilih', 'hamba hamba pilih']"
20,70,20_kebun_buah_pohon_buah buah,"['kebun', 'buah', 'pohon', 'buah buah', 'kurma', 'kebun kebun', 'tumbuh', 'pohon kurma', 'biji', 'taman']","['kebun kebun mata air', 'kebun kebun buah anggur', 'buah buah']"
21,69,21_jalan_jauh_jalan lurus_lurus,"['jalan', 'jauh', 'jalan lurus', 'lurus', 'sesat', 'lampau', 'lubang', 'lampau batas', 'kiri', 'golong kiri']","['kufur halang halang jalan benar benar sesat jauh', 'atas jalan lurus', 'sekira untung mudah oleh jalan berapa jauh niscaya ikut tempat tuju asa jauh sumpah anda sanggup niscaya berangkat sama binasa diri sendiri tahu benar benar bohong']"
22,69,22_neraka_api neraka_api_huni neraka,"['neraka', 'api neraka', 'api', 'huni neraka', 'huni', 'tempat', 'buruk', 'kekal dalam', 'kekal', 'wajah']","['hari azab api neraka', 'ingkar dusta ayat ayat huni neraka kekal dalam', 'adapun kufur dusta ayat ayat huni neraka kekal dalam buruk buruk tempat']"
23,67,23_ri_main_wahai utus_urus penting,"['ri', 'main', 'wahai utus', 'urus penting', 'ganjar takwa', 'tanya urus', 'qqah', 'penting wahai', 'tulis', 'ganjar']","['fir aun pasak pasak', 'tanya urus penting wahai utus', 'tanya urus penting wahai utus']"
24,62,24_setan_setan setan_teman_dua,"['setan', 'setan setan', 'teman', 'dua', 'setan jadi', 'setan musuh', 'musuh', 'iblis', 'buat', 'janji']","['wahai bapak jangan sembah setan setan durhaka maha murah', 'ikut baca setan setan masa raja sulaiman sulaiman kufur setan setan kufur ajar sihir manusia turun dua malaikat negeri babilonia harut marut padahal dua ajar orang hanya fitnah sebab jangan kufur ajar dua pisah orang istri dapat celaka orang izin ajar celaka beri manfaat benar benar tahu siapa beli niscaya dapat untung akhirat buruk sekali buat jual diri sihir tahu', 'tidak bawa turun setan setan']"
25,62,25_jangan_jangan sekali_sekali_gesa,"['jangan', 'jangan sekali', 'sekali', 'gesa', 'sekali kali', 'kali', 'bukan', 'bukankah', 'tidak', 'teman']","['jangan sekali kali bahkan dusta hari balas', 'ingin mau kufur bagaimana kufur sama jangan jadi siapa teman setia pindah jalan paling tawan bunuh mana temu jangan jadi orang teman setia jangan tolong', 'jangan sekali kalingiragembira kerja suka puji atas buat laku jangan sekali kalingiralolos azab dapat azab pedih']"
26,60,26_lihat_lihat lihat_dada_kelak lihat,"['lihat', 'lihat lihat', 'dada', 'kelak lihat', 'sembunyi dada', 'perhati', 'benar lihat', 'kulit', 'perut', 'kelak']","['lihat kelak lihat', 'lihat kelak lihat', 'kelak lihat lihat']"
27,59,27_takut_rasa takut_rasa_takut timpa,"['takut', 'rasa takut', 'rasa', 'takut timpa', 'hati', 'sedih', 'takut tuhan', 'tuhan takut', 'takut hari', 'tuhan']","['turun surga benar benar datang tunjuk kepada siapa ikut tunjuk ada rasa takut timpa pun sedih hati', 'takut tuhan sekalipun lihat rasa takut hari kiamat', 'takut']"
28,58,28_kiamat_hari kiamat_hari_datang,"['kiamat', 'hari kiamat', 'hari', 'datang', 'jadi kiamat', 'kiamat datang', 'hari jadi', 'tiba', 'selisih', 'diam']","['bahkan hari kiamat hari janji hari kiamat dahsyat pahit', 'putus hari kiamat selalu selisih', 'jadi hari kiamat']"
