sura,0,1,2,3,4,5,6,7
99,0.035247132,0.0841675,0.105428375,0.21907064,0.052116223,0.019221488,0.11889821,0.3658504
100,0.02141626,0.1736365,0.08884883,0.099997684,0.045339704,0.02141626,0.30481362,0.24453111
101,0.10492667,0.22188573,0.09883504,0.08787014,0.16723521,0.029390607,0.12035877,0.16949782
102,0.26425233,0.14007337,0.021795463,0.021795463,0.09992046,0.066438325,0.2687423,0.11698224
103,0.028539151,0.028539151,0.028539151,0.0712742,0.028539151,0.15674427,0.42887318,0.22895175
104,0.26049197,0.21136293,0.113200866,0.02722203,0.04637912,0.02722203,0.16506666,0.14905438
105,0.01694557,0.11025186,0.3752958,0.08591108,0.11025186,0.01694557,0.046357337,0.23804088
106,0.14993152,0.05209078,0.020039493,0.15161845,0.36749324,0.020039493,0.117880255,0.12090676
107,0.1181749,0.16919531,0.029560508,0.16919531,0.06715449,0.15576889,0.14234246,0.14860812
108,0.097065575,0.027621135,0.027621135,0.097065575,0.027621135,0.115340434,0.27250418,0.33516082
109,0.32302108,0.02853488,0.02853488,0.02853488,0.1475825,0.02853488,0.097979315,0.31727755
110,0.015634283,0.015634283,0.113673486,0.085078724,0.085078724,0.064653896,0.4686943,0.15155227
111,0.1170977,0.268221,0.040948275,0.087186515,0.21140282,0.05988767,0.0981583,0.1170977
112,0.0954339,0.0954339,0.029644424,0.029644424,0.118930146,0.20821585,0.2516839,0.17101347
113,0.022962134,0.022962134,0.12380247,0.1999519,0.07559371,0.11626841,0.22070865,0.21775055
114,0.10150377,0.030075189,0.030075189,0.082706764,0.030075189,0.030075189,0.2932331,0.40225562
