sura,ayat,0,1,2,3,4,5,6,7,8,9
2,78,0.11,0.01,0.01,0.01,0.21,0.11,0.01,0.01,0.21,0.31
2,79,0.08461539,0.0076923077,0.0076923077,0.0076923077,0.08461539,0.70000005,0.0076923077,0.0076923077,0.0076923077,0.08461539
2,80,0.0076923077,0.0076923077,0.0076923077,0.23846152,0.23846152,0.0076923077,0.16153845,0.0076923077,0.16153845,0.16153845
2,81,0.009090909,0.1,0.009090909,0.46363637,0.009090909,0.009090909,0.009090909,0.009090909,0.1,0.28181818
2,82,0.01,0.21,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.21
2,83,0.039285716,0.0035714286,0.0035714286,0.0035714286,0.0035714286,0.0035714286,0.074999996,0.5392857,0.11071428,0.21785714
2,84,0.1,0.19090909,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.46363637,0.19090909
2,85,0.079487175,0.05384615,0.0025641026,0.15641025,0.10512821,0.0025641026,0.0025641026,0.18205129,0.05384615,0.36153847
2,86,0.23333332,0.011111111,0.12222222,0.23333332,0.011111111,0.011111111,0.011111111,0.23333332,0.011111111,0.12222222
2,87,0.10333333,0.0033333334,0.0033333334,0.0033333334,0.23666666,0.07,0.13666667,0.03666667,0.20333333,0.20333333
2,88,0.1375,0.0125,0.0125,0.1375,0.1375,0.1375,0.0125,0.0125,0.2625,0.1375
2,89,0.005882353,0.005882353,0.064705886,0.064705886,0.47647062,0.005882353,0.123529404,0.005882353,0.064705886,0.18235293
2,90,0.205,0.005,0.105,0.155,0.255,0.005,0.005,0.005,0.105,0.155
2,91,0.005263158,0.005263158,0.005263158,0.005263158,0.21578947,0.057894737,0.11052631,0.11052631,0.057894737,0.4263158
2,92,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.16153845,0.08461539,0.23846152,0.08461539,0.23846152,0.16153845
2,93,0.044,0.004,0.004,0.044,0.124,0.244,0.004,0.044,0.244,0.244
2,94,0.01,0.01,0.11,0.01,0.01,0.01,0.11,0.11,0.31,0.31
2,95,0.1,0.009090909,0.1,0.009090909,0.009090909,0.28181818,0.19090909,0.1,0.1,0.1
2,96,0.1347826,0.0043478264,0.0043478264,0.04782609,0.0043478264,0.04782609,0.04782609,0.17826086,0.1347826,0.3956522
2,97,0.19375,0.00625,0.00625,0.00625,0.31875,0.00625,0.13125,0.00625,0.13125,0.19375
2,98,0.55454546,0.009090909,0.009090909,0.009090909,0.28181818,0.009090909,0.009090909,0.009090909,0.009090909,0.1
2,99,0.009090909,0.009090909,0.009090909,0.009090909,0.37272727,0.19090909,0.19090909,0.009090909,0.009090909,0.19090909
2,100,0.01,0.01,0.01,0.01,0.21,0.11,0.01,0.11,0.11,0.41
2,101,0.07857143,0.007142857,0.007142857,0.07857143,0.29285714,0.07857143,0.07857143,0.007142857,0.07857143,0.29285714
2,102,0.16557378,0.0016393443,0.1,0.034426227,0.11639344,0.034426227,0.06721311,0.1,0.19836067,0.18196721
2,103,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.21,0.11,0.31
2,104,0.007142857,0.007142857,0.007142857,0.14999999,0.007142857,0.29285714,0.007142857,0.07857143,0.007142857,0.43571427
2,105,0.005882353,0.005882353,0.064705886,0.064705886,0.24117647,0.005882353,0.005882353,0.064705886,0.24117647,0.29999998
2,106,0.006666667,0.006666667,0.14,0.006666667,0.006666667,0.14,0.20666666,0.27333334,0.07333334,0.14
2,107,0.23333332,0.011111111,0.34444442,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.34444442
2,108,0.40666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.07333334,0.20666666,0.27333334
2,109,0.005,0.005,0.155,0.005,0.355,0.005,0.105,0.055,0.105,0.205
2,110,0.007142857,0.007142857,0.07857143,0.007142857,0.14999999,0.07857143,0.07857143,0.43571427,0.007142857,0.14999999
2,111,0.25833333,0.175,0.008333334,0.09166667,0.008333334,0.008333334,0.175,0.008333334,0.175,0.09166667
2,112,0.00625,0.00625,0.00625,0.00625,0.25625,0.00625,0.00625,0.13125,0.06875,0.50625
2,113,0.0055555557,0.39444444,0.0055555557,0.17222221,0.28333333,0.0055555557,0.0055555557,0.0055555557,0.0055555557,0.11666666
2,114,0.0043478264,0.1347826,0.0043478264,0.17826086,0.0043478264,0.0043478264,0.0043478264,0.1347826,0.1347826,0.3956522
2,115,0.008333334,0.008333334,0.34166667,0.008333334,0.008333334,0.175,0.25833333,0.008333334,0.008333334,0.175
2,116,0.009090909,0.009090909,0.46363637,0.009090909,0.009090909,0.009090909,0.19090909,0.1,0.1,0.1
2,117,0.01,0.01,0.31,0.01,0.11,0.31,0.01,0.01,0.21,0.01
2,118,0.006666667,0.006666667,0.006666667,0.006666667,0.40666667,0.006666667,0.34,0.07333334,0.006666667,0.14
2,119,0.008333334,0.008333334,0.008333334,0.25833333,0.42499998,0.008333334,0.008333334,0.008333334,0.175,0.09166667
2,120,0.305,0.205,0.005,0.005,0.205,0.005,0.005,0.005,0.105,0.155
2,121,0.007142857,0.007142857,0.007142857,0.007142857,0.29285714,0.007142857,0.14999999,0.007142857,0.07857143,0.43571427
2,122,0.009090909,0.009090909,0.009090909,0.1,0.37272727,0.009090909,0.19090909,0.1,0.1,0.1
2,123,0.16153845,0.0076923077,0.0076923077,0.08461539,0.0076923077,0.0076923077,0.0076923077,0.23846152,0.08461539,0.3923077
2,124,0.00625,0.06875,0.00625,0.00625,0.13125,0.13125,0.00625,0.13125,0.25625,0.25625
2,125,0.0043478264,0.17826086,0.0043478264,0.0043478264,0.0043478264,0.22173913,0.0043478264,0.22173913,0.09130435,0.2652174
2,126,0.0038461538,0.042307694,0.0038461538,0.23461539,0.11923076,0.0038461538,0.0038461538,0.080769226,0.23461539,0.27307692
2,127,0.0076923077,0.23846152,0.0076923077,0.16153845,0.0076923077,0.0076923077,0.54615384,0.0076923077,0.0076923077,0.0076923077
2,128,0.04782609,0.0043478264,0.0043478264,0.0043478264,0.22173913,0.0043478264,0.22173913,0.35217392,0.1347826,0.0043478264
2,129,0.06111111,0.0055555557,0.0055555557,0.0055555557,0.22777778,0.11666666,0.39444444,0.0055555557,0.17222221,0.0055555557
2,130,0.006666667,0.40666667,0.006666667,0.006666667,0.14,0.006666667,0.14,0.20666666,0.07333334,0.006666667
2,131,0.0125,0.0125,0.0125,0.1375,0.5125,0.0125,0.0125,0.0125,0.1375,0.1375
2,132,0.00625,0.19375,0.06875,0.00625,0.00625,0.00625,0.00625,0.44375,0.06875,0.19375
2,133,0.004761905,0.33809525,0.052380953,0.004761905,0.099999994,0.004761905,0.099999994,0.14761904,0.004761905,0.24285714
2,134,0.011111111,0.011111111,0.011111111,0.011111111,0.12222222,0.011111111,0.011111111,0.12222222,0.23333332,0.45555556
2,135,0.16153845,0.3923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.08461539,0.0076923077,0.3153846
2,136,0.14761904,0.19523808,0.004761905,0.004761905,0.29047617,0.004761905,0.004761905,0.004761905,0.099999994,0.24285714
2,137,0.3923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.3153846,0.0076923077,0.0076923077,0.23846152
